A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-B2j,PRE-O1,POST-B2j-H2,POST-O1,,18.42,19.10,-0.68
PRE-B2k,PRE-O1,POST-B2k-H1,POST-O1,,17.36,17.50,-0.14
PRE-B2k,PRE-O1,POST-B2k-H2,POST-O1,,18.74,19.80,-1.06
PRE-B2l,PRE-O1,POST-B2l-H1,POST-O1,,14.81,14.50,0.31
PRE-B2l,PRE-O1,POST-B2l-H2,POST-O1,,17.31,17.30,0.01
PRE-B2m,PRE-O1,POST-B2m-H1,POST-O1,,14.88,15.20,-0.32
PRE-B2m,PRE-O1,POST-B2m-H2,POST-O1,,17.30,17.80,-0.50
PRE-B2n,PRE-O1,POST-B2n-H1,POST-O1,,10.77,10.70,0.07
PRE-B2n,PRE-O1,POST-B2n-H2,POST-O1,,17.14,18.00,-0.86
PRE-C1a,PRE-O1,POST-C1a-H1,POST-O1,,14.23,14.40,-0.17
PRE-C1b,PRE-O1,POST-C1b-H1,POST-O1,,15.56,15.90,-0.34
PRE-C1c,PRE-O1,POST-C1c-H1,POST-O1,,12.71,13.30,-0.59
PRE-C1d,PRE-O1,POST-C1d-H1,POST-O1,,17.35,17.80,-0.45
PRE-C1e,PRE-O1,POST-C1e-H1,POST-O1,,13.34,13.60,-0.26
PRE-C1f,PRE-O1,POST-C1f-H1,POST-O1,,13.13,13.40,-0.27
PRE-C1h,PRE-O1,POST-C1h-H1,POST-O1,,13.44,13.60,-0.16
PRE-C1i,PRE-O1,POST-C1i-H1,POST-O1,,15.01,15.90,-0.89
PRE-C1j,PRE-O1,POST-C1j-H1,POST-O1,,15.98,15.80,0.18
PRE-C1k,PRE-O1,POST-C1k-H1,POST-O1,,17.10,17.30,-0.20
PRE-C1l,PRE-O1,POST-C1l-H1,POST-O1,,15.09,15.30,-0.21
PRE-C1m,PRE-O1,POST-C1m-H1,POST-O1,,14.63,14.50,0.13
PRE-C1n,PRE-O1,POST-C1n-H1,POST-O1,,11.76,12.50,-0.74
PRE-D1a,PRE-O1,POST-D1a-H1,POST-O1,,13.42,13.80,-0.38
PRE-D1b,PRE-O1,POST-D1b-H1,POST-O1,,15.25,16.30,-1.05
PRE-D1c,PRE-O1,POST-D1c-H1,POST-O1,,12.37,14.20,-1.83
PRE-D1d,PRE-O1,POST-D1d-H1,POST-O1,,16.84,17.30,-0.46
PRE-D1e,PRE-O1,POST-D1e-H1,POST-O1,,13.57,14.50,-0.93
PRE-D1f,PRE-O1,POST-D1f-H1,POST-O1,,13.19,13.90,-0.71
PRE-D1h,PRE-O1,POST-D1h-H1,POST-O1,,12.96,13.50,-0.54
PRE-D1j,PRE-O1,POST-D1j-H1,POST-O1,,15.11,15.40,-0.29
PRE-D1k,PRE-O1,POST-D1k-H1,POST-O1,,16.65,18.30,-1.65
PRE-D1l,PRE-O1,POST-D1l-H1,POST-O1,,14.98,15.10,-0.12
PRE-D1m,PRE-O1,POST-D1m-H1,POST-O1,,14.84,15.20,-0.36
PRE-D1n,PRE-O1,POST-D1n-H1,POST-O1,,12.15,13.90,-1.75
PRE-E1a,PRE-O1,POST-E1a-H1,POST-O1,,15.26,15.50,-0.24
PRE-E1b,PRE-O1,POST-E1b-H1,POST-O1,,16.78,16.90,-0.12
PRE-E1c,PRE-O1,POST-E1c-H1,POST-O1,,13.38,14.40,-1.02
PRE-E1d,PRE-O1,POST-E1d-H1,POST-O1,,18.42,18.80,-0.38
PRE-E1e,PRE-O1,POST-E1e-H1,POST-O1,,13.81,14.00,-0.19
PRE-E1f,PRE-O1,POST-E1f-H1,POST-O1,,14.26,14.60,-0.34
PRE-E1h,PRE-O1,POST-E1h-H1,POST-O1,,13.91,14.10,-0.19
PRE-E1i,PRE-O1,POST-E1i-H1,POST-O1,,15.76,16.50,-0.74
PRE-E1j,PRE-O1,POST-E1j-H1,POST-O1,,16.45,16.30,0.15
PRE-E1k,PRE-O1,POST-E1k-H1,POST-O1,,18.07,18.60,-0.53
PRE-E1l,PRE-O1,POST-E1l-H1,POST-O1,,16.44,16.30,0.14
PRE-E1m,PRE-O1,POST-E1m-H1,POST-O1,,15.83,15.80,0.03
PRE-E1n,PRE-O1,POST-E1n-H1,POST-O1,,13.06,14.20,-1.14
PRE-F1a,PRE-O1,POST-F1a-H1,POST-O1,,14.25,14.00,0.25
PRE-F1b,PRE-O1,POST-F1b-H1,POST-O1,,15.78,16.40,-0.62
PRE-F1c,PRE-O1,POST-F1c-H1,POST-O1,,12.29,12.40,-0.11
PRE-F1d,PRE-O1,POST-F1d-H1,POST-O1,,18.63,19.30,-0.67
PRE-F1e,PRE-O1,POST-F1e-H1,POST-O1,,14.08,14.40,-0.32
PRE-F1f,PRE-O1,POST-F1f-H1,POST-O1,,13.79,14.90,-1.11
PRE-F1h,PRE-O1,POST-F1h-H1,POST-O1,,13.52,14.00,-0.48
PRE-F1j,PRE-O1,POST-F1j-H1,POST-O1,,16.12,16.30,-0.18
PRE-F1k,PRE-O1,POST-F1k-H1,POST-O1,,18.21,18.20,0.01
PRE-F1l,PRE-O1,POST-F1l-H1,POST-O1,,16.35,17.20,-0.85
PRE-F1m,PRE-O1,POST-F1m-H1,POST-O1,,16.71,15.80,0.91
PRE-F1n,PRE-O1,POST-F1n-H1,POST-O1,,12.46,13.00,-0.54
PRE-G1a,PRE-O1,POST-G1a-H1,POST-O1,,14.65,14.70,-0.05
PRE-G1b,PRE-O1,POST-G1b-H1,POST-O1,,16.32,16.60,-0.28
PRE-G1c,PRE-O1,POST-G1c-H1,POST-O1,,12.82,13.20,-0.38
PRE-G1d,PRE-O1,POST-G1d-H1,POST-O1,,19.17,19.60,-0.43
PRE-G1e,PRE-O1,POST-G1e-H1,POST-O1,,13.82,14.70,-0.88
PRE-G1f,PRE-O1,POST-G1f-H1,POST-O1,,13.46,14.30,-0.84
PRE-G1h,PRE-O1,POST-G1h-H1,POST-O1,,13.60,13.70,-0.10
PRE-G1i,PRE-O1,POST-G1i-H1,POST-O1,,15.49,16.20,-0.71
PRE-G1j,PRE-O1,POST-G1j-H1,POST-O1,,16.46,16.40,0.06
PRE-G1k,PRE-O1,POST-G1k-H1,POST-O1,,18.82,19.60,-0.78
PRE-G1l,PRE-O1,POST-G1l-H1,POST-O1,,16.89,17.40,-0.51
PRE-G1m,PRE-O1,POST-G1m-H1,POST-O1,,16.43,16.20,0.23
PRE-G1n,PRE-O1,POST-G1n-H1,POST-O1,,11.87,13.60,-1.73
PRE-H1a,PRE-O1,POST-H1a-H1,POST-O1,,14.32,14.50,-0.18
PRE-H1b,PRE-O1,POST-H1b-H1,POST-O1,,15.32,15.50,-0.18
PRE-H1c,PRE-O1,POST-H1c-H1,POST-O1,,12.74,13.20,-0.46
PRE-H1d,PRE-O1,POST-H1d-H1,POST-O1,,16.79,16.50,0.29
PRE-H1e,PRE-O1,POST-H1e-H1,POST-O1,,13.06,13.50,-0.44
PRE-H1f,PRE-O1,POST-H1f-H1,POST-O1,,13.65,14.50,-0.85
PRE-H1h,PRE-O1,POST-H1h-H1,POST-O1,,13.69,14.30,-0.61
PRE-H1j,PRE-O1,POST-H1j-H1,POST-O1,,15.75,16.00,-0.25
PRE-H1k,PRE-O1,POST-H1k-H1,POST-O1,,16.80,17.20,-0.40
PRE-H1l,PRE-O1,POST-H1l-H1,POST-O1,,14.97,15.00,-0.03
PRE-H1m,PRE-O1,POST-H1m-H1,POST-O1,,14.78,14.90,-0.12
PRE-H1n,PRE-O1,POST-H1n-H1,POST-O1,,13.24,14.50,-1.26
PRE-I1a,PRE-O1,POST-I1a-H1,POST-O1,,12.39,12.50,-0.11
PRE-I1b,PRE-O1,POST-I1b-H1,POST-O1,,14.57,14.90,-0.33
PRE-I1c,PRE-O1,POST-I1c-H1,POST-O1,,11.91,12.30,-0.39
PRE-I1d,PRE-O1,POST-I1d-H1,POST-O1,,14.30,14.90,-0.60
PRE-I1e,PRE-O1,POST-I1e-H1,POST-O1,,12.91,13.50,-0.59
PRE-I1f,PRE-O1,POST-I1f-H1,POST-O1,,12.79,13.00,-0.21
PRE-I1h,PRE-O1,POST-I1h-H1,POST-O1,,11.98,11.60,0.38
PRE-I1j,PRE-O1,POST-I1j-H1,POST-O1,,13.75,14.20,-0.45
PRE-I1k,PRE-O1,POST-I1k-H1,POST-O1,,13.71,14.30,-0.59
PRE-I1l,PRE-O1,POST-I1l-H1,POST-O1,,13.02,13.50,-0.48
PRE-I1m,PRE-O1,POST-I1m-H1,POST-O1,,12.41,13.30,-0.89
PRE-I1n,PRE-O1,POST-I1n-H1,POST-O1,,12.42,13.40,-0.98
PRE-J1a,PRE-O1,POST-J1a-H1,POST-O1,,13.46,13.90,-0.44
PRE-J1b,PRE-O1,POST-J1b-H1,POST-O1,,14.27,14.20,0.07
PRE-J1c,PRE-O1,POST-J1c-H1,POST-O1,,13.13,13.40,-0.27
PRE-J1d,PRE-O1,POST-J1d-H1,POST-O1,,14.32,14.10,0.22
PRE-J1e,PRE-O1,POST-J1e-H1,POST-O1,,13.55,13.80,-0.25
PRE-J1f,PRE-O1,POST-J1f-H1,POST-O1,,13.32,13.80,-0.48
PRE-J1h,PRE-O1,POST-J1h-H1,POST-O1,,13.33,13.80,-0.47
PRE-J1i,PRE-O1,POST-J1i-H1,POST-O1,,13.54,13.70,-0.16
PRE-J1j,PRE-O1,POST-J1j-H1,POST-O1,,14.05,14.10,-0.05
PRE-J1k,PRE-O1,POST-J1k-H1,POST-O1,,14.56,15.50,-0.94
PRE-J1l,PRE-O1,POST-J1l-H1,POST-O1,,13.94,13.80,0.14
PRE-J1m,PRE-O1,POST-J1m-H1,POST-O1,,13.61,14.50,-0.89
PRE-J1n,PRE-O1,POST-J1n-H1,POST-O1,,13.25,13.60,-0.35
PRE-SI1,PRE-O1,POST-SI1-H1,POST-O1,,12.24,13.50,-1.26
PRE-SI2,PRE-O1,POST-SI2-H1,POST-O1,,12.53,13.00,-0.47
PRE-SI3,PRE-O1,POST-SI3-H1,POST-O1,,12.86,14.00,-1.14
PRE-A1a,PRE-O2,POST-A1a-H1,POST-O2,,27.93,27.80,0.13
PRE-A1b,PRE-O2,POST-A1b-H1,POST-O2,,31.47,32.50,-1.03
PRE-A1c,PRE-O2,POST-A1c-H1,POST-O2,,20.30,20.80,-0.50
PRE-A1e,PRE-O2,POST-A1e-H1,POST-O2,,23.84,23.80,0.04
PRE-A1f,PRE-O2,POST-A1f-H1,POST-O2,,24.36,24.60,-0.24
PRE-A1h,PRE-O2,POST-A1h-H1,POST-O2,,24.83,26.20,-1.37
PRE-A1i,PRE-O2,POST-A1i-H1,POST-O2,,32.97,31.80,1.17
PRE-A1j,PRE-O2,POST-A1j-H1,POST-O2,,30.07,31.70,-1.63
PRE-A1l,PRE-O2,POST-A1l-H1,POST-O2,,29.54,30.80,-1.26
PRE-A1m,PRE-O2,POST-A1m-H1,POST-O2,,30.59,30.30,0.29
PRE-A1n,PRE-O2,POST-A1n-H1,POST-O2,,18.07,16.20,1.87
PRE-B1a,PRE-O2,POST-B1a-H1,POST-O2,,25.75,26.50,-0.75
PRE-B1a,PRE-O2,POST-B1a-H3,POST-O2,,28.82,29.40,-0.58
PRE-B1b,PRE-O2,POST-B1b-H1,POST-O2,,27.99,29.20,-1.21
PRE-B1b,PRE-O2,POST-B1b-H2,POST-O2,,27.79,28.80,-1.01
PRE-B1b,PRE-O2,POST-B1b-H3,POST-O2,,30.07,30.70,-0.63
PRE-B1c,PRE-O2,POST-B1c-H1,POST-O2,,18.05,18.00,0.05
PRE-B1c,PRE-O2,POST-B1c-H2,POST-O2,,26.48,26.70,-0.22
PRE-B1c,PRE-O2,POST-B1c-H3,POST-O2,,29.03,29.40,-0.37
PRE-B1d,PRE-O2,POST-B1d-H1,POST-O2,,30.62,32.20,-1.58
PRE-B1d,PRE-O2,POST-B1d-H2,POST-O2,,29.75,29.30,0.45
PRE-B1d,PRE-O2,POST-B1d-H3,POST-O2,,31.28,31.40,-0.12
PRE-B1e,PRE-O2,POST-B1e-H1,POST-O2,,22.41,22.80,-0.39
PRE-B1e,PRE-O2,POST-B1e-H2,POST-O2,,25.79,26.00,-0.21
PRE-B1e,PRE-O2,POST-B1e-H3,POST-O2,,29.24,29.30,-0.06
PRE-B1f,PRE-O2,POST-B1f-H1,POST-O2,,22.74,23.40,-0.66
PRE-B1f,PRE-O2,POST-B1f-H2,POST-O2,,26.70,26.20,0.50
PRE-B1f,PRE-O2,POST-B1f-H3,POST-O2,,29.14,29.50,-0.36
PRE-B1h,PRE-O2,POST-B1h-H1,POST-O2,,23.26,24.00,-0.74
PRE-B1h,PRE-O2,POST-B1h-H2,POST-O2,,26.88,26.60,0.28
PRE-B1h,PRE-O2,POST-B1h-H3,POST-O2,,29.05,29.30,-0.25
PRE-B1j,PRE-O2,POST-B1j-H1,POST-O2,,27.88,28.00,-0.12
PRE-B1j,PRE-O2,POST-B1j-H2,POST-O2,,27.41,28.00,-0.59
PRE-B1j,PRE-O2,POST-B1j-H3,POST-O2,,29.83,30.40,-0.57
PRE-B1k,PRE-O2,POST-B1k-H1,POST-O2,,32.58,32.60,-0.02
PRE-B1k,PRE-O2,POST-B1k-H2,POST-O2,,27.84,28.80,-0.96
PRE-B1k,PRE-O2,POST-B1k-H3,POST-O2,,29.97,30.90,-0.93
PRE-B1l,PRE-O2,POST-B1l-H1,POST-O2,,27.66,29.40,-1.74
PRE-B1l,PRE-O2,POST-B1l-H2,POST-O2,,27.70,28.60,-0.90
PRE-B1l,PRE-O2,POST-B1l-H3,POST-O2,,29.12,29.10,0.02
PRE-B1m,PRE-O2,POST-B1m-H1,POST-O2,,27.35,27.70,-0.35
PRE-B1m,PRE-O2,POST-B1m-H2,POST-O2,,25.72,25.70,0.02
PRE-B1m,PRE-O2,POST-B1m-H3,POST-O2,,29.03,29.50,-0.47
PRE-B1n,PRE-O2,POST-B1n-H1,POST-O2,,17.00,15.60,1.40
PRE-B1n,PRE-O2,POST-B1n-H2,POST-O2,,26.37,27.80,-1.43
PRE-B1n,PRE-O2,POST-B1n-H3,POST-O2,,29.13,29.60,-0.47
PRE-B2a,PRE-O2,POST-B2a-H1,POST-O2,,23.40,23.40,-0.00
PRE-B2a,PRE-O2,POST-B2a-H2,POST-O2,,29.34,29.70,-0.36
PRE-B2b,PRE-O2,POST-B2b-H1,POST-O2,,26.21,26.80,-0.59
PRE-B2b,PRE-O2,POST-B2b-H2,POST-O2,,32.57,32.30,0.27
PRE-B2c,PRE-O2,POST-B2c-H1,POST-O2,,16.64,16.40,0.24
PRE-B2c,PRE-O2,POST-B2c-H2,POST-O2,,30.26,30.60,-0.34
PRE-B2d,PRE-O2,POST-B2d-H1,POST-O2,,27.78,29.90,-2.12
PRE-B2d,PRE-O2,POST-B2d-H2,POST-O2,,33.11,32.50,0.61
PRE-B2e,PRE-O2,POST-B2e-H1,POST-O2,,20.71,20.20,0.51
PRE-B2e,PRE-O2,POST-B2e-H2,POST-O2,,29.39,29.60,-0.21
PRE-B2f,PRE-O2,POST-B2f-H1,POST-O2,,21.47,21.60,-0.13
PRE-B2f,PRE-O2,POST-B2f-H2,POST-O2,,30.77,31.10,-0.33
PRE-B2h,PRE-O2,POST-B2h-H1,POST-O2,,21.14,22.10,-0.96
PRE-B2h,PRE-O2,POST-B2h-H2,POST-O2,,30.47,30.50,-0.03
PRE-B2j,PRE-O2,POST-B2j-H1,POST-O2,,25.66,26.00,-0.34
PRE-B2j,PRE-O2,POST-B2j-H2,POST-O2,,31.30,32.30,-1.00
PRE-B2k,PRE-O2,POST-B2k-H1,POST-O2,,28.86,29.00,-0.14
PRE-B2k,PRE-O2,POST-B2k-H2,POST-O2,,31.81,32.50,-0.69
PRE-B2l,PRE-O2,POST-B2l-H1,POST-O2,,24.36,25.00,-0.64
PRE-B2l,PRE-O2,POST-B2l-H2,POST-O2,,30.37,31.70,-1.33
PRE-B2m,PRE-O2,POST-B2m-H1,POST-O2,,23.67,24.00,-0.33
PRE-B2m,PRE-O2,POST-B2m-H2,POST-O2,,29.28,29.80,-0.52
PRE-B2n,PRE-O2,POST-B2n-H1,POST-O2,,16.60,15.20,1.40
PRE-B2n,PRE-O2,POST-B2n-H2,POST-O2,,29.82,30.20,-0.38
PRE-C1a,PRE-O2,POST-C1a-H1,POST-O2,,22.82,22.60,0.22
PRE-C1b,PRE-O2,POST-C1b-H1,POST-O2,,25.27,25.70,-0.43
PRE-C1c,PRE-O2,POST-C1c-H1,POST-O2,,17.53,19.20,-1.67
PRE-C1d,PRE-O2,POST-C1d-H1,POST-O2,,27.21,28.20,-0.99
PRE-C1e,PRE-O2,POST-C1e-H1,POST-O2,,21.46,21.70,-0.24
PRE-C1f,PRE-O2,POST-C1f-H1,POST-O2,,21.07,20.90,0.17
PRE-C1h,PRE-O2,POST-C1h-H1,POST-O2,,20.31,22.40,-2.09
PRE-C1i,PRE-O2,POST-C1i-H1,POST-O2,,23.79,24.60,-0.81
PRE-C1j,PRE-O2,POST-C1j-H1,POST-O2,,24.96,25.60,-0.64
PRE-C1k,PRE-O2,POST-C1k-H1,POST-O2,,27.40,27.30,0.10
PRE-C1l,PRE-O2,POST-C1l-H1,POST-O2,,23.34,22.90,0.44
PRE-C1m,PRE-O2,POST-C1m-H1,POST-O2,,22.81,24.80,-1.99
PRE-C1n,PRE-O2,POST-C1n-H1,POST-O2,,15.57,16.60,-1.03
PRE-D1a,PRE-O2,POST-D1a-H1,POST-O2,,21.47,21.20,0.27
PRE-D1b,PRE-O2,POST-D1b-H1,POST-O2,,22.94,24.80,-1.86
PRE-D1c,PRE-O2,POST-D1c-H1,POST-O2,,15.57,18.00,-2.43
PRE-D1d,PRE-O2,POST-D1d-H1,POST-O2,,25.94,27.60,-1.66
PRE-D1e,PRE-O2,POST-D1e-H1,POST-O2,,20.55,21.20,-0.65
PRE-D1f,PRE-O2,POST-D1f-H1,POST-O2,,19.38,20.50,-1.12
PRE-D1h,PRE-O2,POST-D1h-H1,POST-O2,,19.42,21.50,-2.08
PRE-D1j,PRE-O2,POST-D1j-H1,POST-O2,,24.25,25.10,-0.85
PRE-D1k,PRE-O2,POST-D1k-H1,POST-O2,,25.36,25.90,-0.54
PRE-D1l,PRE-O2,POST-D1l-H1,POST-O2,,21.12,22.40,-1.28
PRE-D1m,PRE-O2,POST-D1m-H1,POST-O2,,21.93,21.90,0.03
PRE-D1n,PRE-O2,POST-D1n-H1,POST-O2,,15.77,16.00,-0.23
PRE-E1a,PRE-O2,POST-E1a-H1,POST-O2,,24.23,25.10,-0.87
PRE-E1b,PRE-O2,POST-E1b-H1,POST-O2,,26.17,27.80,-1.63
PRE-E1c,PRE-O2,POST-E1c-H1,POST-O2,,20.64,21.40,-0.76
PRE-E1d,PRE-O2,POST-E1d-H1,POST-O2,,28.71,29.50,-0.79
PRE-E1e,PRE-O2,POST-E1e-H1,POST-O2,,22.06,22.20,-0.14
PRE-E1f,PRE-O2,POST-E1f-H1,POST-O2,,22.76,24.20,-1.44
PRE-E1h,PRE-O2,POST-E1h-H1,POST-O2,,23.19,25.30,-2.11
PRE-E1i,PRE-O2,POST-E1i-H1,POST-O2,,25.62,26.90,-1.28
PRE-E1j,PRE-O2,POST-E1j-H1,POST-O2,,26.20,27.40,-1.20
PRE-E1k,PRE-O2,POST-E1k-H1,POST-O2,,28.68,29.90,-1.22
PRE-E1l,PRE-O2,POST-E1l-H1,POST-O2,,25.66,25.90,-0.24
PRE-E1m,PRE-O2,POST-E1m-H1,POST-O2,,25.11,25.40,-0.29
PRE-E1n,PRE-O2,POST-E1n-H1,POST-O2,,18.58,18.40,0.18
PRE-F1a,PRE-O2,POST-F1a-H1,POST-O2,,22.81,23.30,-0.49
PRE-F1b,PRE-O2,POST-F1b-H1,POST-O2,,24.49,24.70,-0.21
PRE-F1c,PRE-O2,POST-F1c-H1,POST-O2,,17.16,18.60,-1.44
PRE-F1d,PRE-O2,POST-F1d-H1,POST-O2,,28.09,29.60,-1.51
PRE-F1e,PRE-O2,POST-F1e-H1,POST-O2,,22.24,22.80,-0.56
PRE-F1f,PRE-O2,POST-F1f-H1,POST-O2,,21.38,22.20,-0.82
PRE-F1h,PRE-O2,POST-F1h-H1,POST-O2,,21.50,22.40,-0.90
PRE-F1j,PRE-O2,POST-F1j-H1,POST-O2,,25.09,25.90,-0.81
PRE-F1k,PRE-O2,POST-F1k-H1,POST-O2,,28.01,29.30,-1.29
PRE-F1l,PRE-O2,POST-F1l-H1,POST-O2,,24.80,25.30,-0.50
PRE-F1m,PRE-O2,POST-F1m-H1,POST-O2,,25.62,26.00,-0.38
PRE-F1n,PRE-O2,POST-F1n-H1,POST-O2,,18.88,16.80,2.08
PRE-G1a,PRE-O2,POST-G1a-H1,POST-O2,,23.52,23.30,0.22
PRE-G1b,PRE-O2,POST-G1b-H1,POST-O2,,25.94,25.90,0.04
PRE-G1c,PRE-O2,POST-G1c-H1,POST-O2,,18.20,19.10,-0.90
PRE-G1d,PRE-O2,POST-G1d-H1,POST-O2,,28.97,30.30,-1.33
PRE-G1e,PRE-O2,POST-G1e-H1,POST-O2,,21.57,21.40,0.17
PRE-G1f,PRE-O2,POST-G1f-H1,POST-O2,,22.04,21.80,0.24
PRE-G1h,PRE-O2,POST-G1h-H1,POST-O2,,22.28,23.20,-0.92
PRE-G1i,PRE-O2,POST-G1i-H1,POST-O2,,25.07,25.60,-0.53
PRE-G1j,PRE-O2,POST-G1j-H1,POST-O2,,26.13,26.30,-0.17
PRE-G1k,PRE-O2,POST-G1k-H1,POST-O2,,29.36,29.70,-0.34
PRE-G1l,PRE-O2,POST-G1l-H1,POST-O2,,24.87,25.30,-0.43
PRE-G1m,PRE-O2,POST-G1m-H1,POST-O2,,25.83,26.30,-0.47
PRE-G1n,PRE-O2,POST-G1n-H1,POST-O2,,18.58,17.10,1.48
PRE-H1a,PRE-O2,POST-H1a-H1,POST-O2,,22.86,23.30,-0.44
PRE-H1b,PRE-O2,POST-H1b-H1,POST-O2,,25.04,25.80,-0.76
PRE-H1c,PRE-O2,POST-H1c-H1,POST-O2,,18.48,20.20,-1.72
PRE-H1d,PRE-O2,POST-H1d-H1,POST-O2,,27.60,28.40,-0.80
PRE-H1e,PRE-O2,POST-H1e-H1,POST-O2,,20.76,20.70,0.06
PRE-H1f,PRE-O2,POST-H1f-H1,POST-O2,,22.12,22.50,-0.38
PRE-H1h,PRE-O2,POST-H1h-H1,POST-O2,,22.27,24.30,-2.03
PRE-H1j,PRE-O2,POST-H1j-H1,POST-O2,,25.25,25.90,-0.65
PRE-H1k,PRE-O2,POST-H1k-H1,POST-O2,,27.06,27.80,-0.74
PRE-H1l,PRE-O2,POST-H1l-H1,POST-O2,,23.37,23.30,0.07
PRE-H1m,PRE-O2,POST-H1m-H1,POST-O2,,23.02,23.30,-0.28
PRE-H1n,PRE-O2,POST-H1n-H1,POST-O2,,18.47,19.00,-0.53
PRE-I1a,PRE-O2,POST-I1a-H1,POST-O2,,18.69,19.00,-0.31
PRE-I1b,PRE-O2,POST-I1b-H1,POST-O2,,23.09,23.10,-0.01
PRE-I1c,PRE-O2,POST-I1c-H1,POST-O2,,18.88,17.60,1.28
PRE-I1d,PRE-O2,POST-I1d-H1,POST-O2,,23.44,23.90,-0.46
PRE-I1e,PRE-O2,POST-I1e-H1,POST-O2,,20.05,20.60,-0.55
PRE-I1f,PRE-O2,POST-I1f-H1,POST-O2,,19.68,20.00,-0.32
PRE-I1h,PRE-O2,POST-I1h-H1,POST-O2,,19.46,19.10,0.36
PRE-I1j,PRE-O2,POST-I1j-H1,POST-O2,,21.85,22.10,-0.25
PRE-I1k,PRE-O2,POST-I1k-H1,POST-O2,,21.65,22.70,-1.05
PRE-I1l,PRE-O2,POST-I1l-H1,POST-O2,,20.06,20.70,-0.64
PRE-I1m,PRE-O2,POST-I1m-H1,POST-O2,,18.70,18.20,0.50
PRE-I1n,PRE-O2,POST-I1n-H1,POST-O2,,18.58,18.80,-0.22
PRE-J1a,PRE-O2,POST-J1a-H1,POST-O2,,21.07,20.90,0.17
PRE-J1b,PRE-O2,POST-J1b-H1,POST-O2,,22.95,23.20,-0.25
PRE-J1c,PRE-O2,POST-J1c-H1,POST-O2,,19.95,20.10,-0.15
PRE-J1d,PRE-O2,POST-J1d-H1,POST-O2,,23.31,23.10,0.21
PRE-J1e,PRE-O2,POST-J1e-H1,POST-O2,,21.35,21.30,0.05
PRE-J1f,PRE-O2,POST-J1f-H1,POST-O2,,20.76,21.10,-0.34
PRE-J1h,PRE-O2,POST-J1h-H1,POST-O2,,20.84,21.40,-0.56
PRE-J1i,PRE-O2,POST-J1i-H1,POST-O2,,21.35,22.00,-0.65
PRE-J1j,PRE-O2,POST-J1j-H1,POST-O2,,22.25,22.40,-0.15
PRE-J1k,PRE-O2,POST-J1k-H1,POST-O2,,22.75,23.70,-0.95
PRE-J1l,PRE-O2,POST-J1l-H1,POST-O2,,22.54,22.10,0.44
PRE-J1m,PRE-O2,POST-J1m-H1,POST-O2,,21.26,21.70,-0.44
PRE-J1n,PRE-O2,POST-J1n-H1,POST-O2,,20.74,21.90,-1.16
PRE-SI2,PRE-O2,POST-SI2-H1,POST-O2,,18.69,19.00,-0.31
PRE-SI3,PRE-O2,POST-SI3-H1,POST-O2,,18.73,18.50,0.23
PRE-A1a,PRE-O3,POST-A1a-H1,POST-O3,,12.57,13.00,-0.43
PRE-A1b,PRE-O3,POST-A1b-H1,POST-O3,,15.82,16.40,-0.58
PRE-A1c,PRE-O3,POST-A1c-H1,POST-O3,,6.71,7.10,-0.39
PRE-A1d,PRE-O3,POST-A1d-H1,POST-O3,,18.86,22.90,-4.04
PRE-A1e,PRE-O3,POST-A1e-H1,POST-O3,,10.66,11.60,-0.94
PRE-A1f,PRE-O3,POST-A1f-H1,POST-O3,,9.87,11.10,-1.23
PRE-A1h,PRE-O3,POST-A1h-H1,POST-O3,,7.93,5.00,2.93
PRE-A1i,PRE-O3,POST-A1i-H1,POST-O3,,14.43,15.10,-0.67
PRE-A1j,PRE-O3,POST-A1j-H1,POST-O3,,14.30,15.10,-0.80
PRE-A1k,PRE-O3,POST-A1k-H1,POST-O3,,17.05,17.90,-0.85
PRE-A1l,PRE-O3,POST-A1l-H1,POST-O3,,15.12,16.10,-0.98
PRE-A1m,PRE-O3,POST-A1m-H1,POST-O3,,14.17,14.50,-0.33
PRE-A1n,PRE-O3,POST-A1n-H1,POST-O3,,6.31,6.20,0.11
PRE-B1a,PRE-O3,POST-B1a-H1,POST-O3,,10.77,11.20,-0.43
PRE-B1a,PRE-O3,POST-B1a-H3,POST-O3,,13.50,14.00,-0.50
PRE-B1b,PRE-O3,POST-B1b-H1,POST-O3,,14.06,14.50,-0.44
PRE-B1b,PRE-O3,POST-B1b-H2,POST-O3,,12.88,13.40,-0.52
PRE-B1b,PRE-O3,POST-B1b-H3,POST-O3,,14.20,14.70,-0.50
PRE-B1c,PRE-O3,POST-B1c-H1,POST-O3,,5.99,6.10,-0.11
PRE-B1c,PRE-O3,POST-B1c-H2,POST-O3,,10.81,10.80,0.01
PRE-B1c,PRE-O3,POST-B1c-H3,POST-O3,,13.43,14.50,-1.07
PRE-B1d,PRE-O3,POST-B1d-H1,POST-O3,,16.81,18.30,-1.49
PRE-B1d,PRE-O3,POST-B1d-H2,POST-O3,,13.52,14.20,-0.68
PRE-B1d,PRE-O3,POST-B1d-H3,POST-O3,,14.74,15.50,-0.76
PRE-B1e,PRE-O3,POST-B1e-H1,POST-O3,,9.12,9.70,-0.58
PRE-B1e,PRE-O3,POST-B1e-H2,POST-O3,,11.79,12.80,-1.01
PRE-B1e,PRE-O3,POST-B1e-H3,POST-O3,,13.42,13.80,-0.38
